id;uuid;name;abv;ebc;ibu;owner_uuid;color
1;Shoes incentivize;aggregate;57456;54286;1473;b withdrawal Gabon;BRUNE
2;Chicken;violet;65489;87738;83110;Bike yellow holistic;BLONDE
3;AGP c utilize;exuding a;97170;29376;33970;Saint-Dominique Metal;BLONDE
4;Investment;Dollar Jewelery;42867;65981;83353;copying architect invoice;BLONDE
5;tan;Balboa bleeding-edge d'Argenteuil;62390;14779;20203;Coordinateur;AMBREE
6;Technicien;withdrawal;62015;79328;4876;override;BLONDE
7;mesh;maximize;17587;31989;27890;Avon reinvent;BLONDE
8;approach;Pre-emptive;58991;32251;51784;pixel CSS;BRUNE
9;HDD Developpeur solution;Future-proofed;40269;34558;568;azure;AMBREE
10;Administrateur Money d'Orsel;overriding;64249;40839;83612;Versatile;BRUNE
